,Unnamed: 0,name,hostname,Insolation,Period,T_eff,Radius,masse_est,semi_au,st_log_lum,Discovery,H_Tidal,H_Radio,H_Total,TSM
0,0,KOI-4427.01,KIC 4172805,0.318849329,147.661729,199.2397708,1.797673469,3.885903717,0.447411607,-1.195, Kepler,42690502488.0,337312000000000.0,337354000000000.0,2.6276495343022037
1,1,KOI-4848.01,KIC 9005321,0.160519346,384.6961,167.8268727,1.88,4.192847647,0.903100972,-0.883, Kepler,21971081931.0,385809000000000.0,385831000000000.0,1.4013438943977512
2,2,KOI-7716.01,KIC 5097856,0.434274458,483.36405,215.2388825,1.503481894,2.868942907,1.153766318,-0.238, Kepler,470475881.7,197330000000000.0,197331000000000.0,0.839123963396286
3,4,KOI-5087.01,KIC 4770798,0.33287507,651.07431,201.3955984,1.141911182,1.563745387,1.441648434,-0.16, Kepler,15844726.82,86456200000000.0,86456200000000.0,1.533627994338674
4,5,KOI-5227.01,KIC 6034834,0.5989825,371.56492,233.2561969,1.611944444,3.2291135,0.967816301,-0.251, Kepler,2518710205.0,243192000000000.0,243194000000000.0,1.5207631245030278
5,6,KOI-5236.01,KIC 6067545,0.811568592,550.86514,251.6581297,1.921434978,4.350944247,1.334557789,0.16, Kepler,699406407.7,411885000000000.0,411886000000000.0,1.8836854795644469
6,7,KOI-5130.01,KIC 5166811,0.430720069,370.05918,214.7971099,1.9,4.268858077,0.938773661,-0.4206831, Kepler,1127595144.0,398254000000000.0,398255000000000.0,1.1341439780554852
7,8,KOI-5408.01,KIC 7631138,0.354581914,415.748785,204.6014945,1.710821382,3.572556166,1.034288534,-0.421, Kepler,382675296.4,290745000000000.0,290746000000000.0,1.6593738896313124
8,9,KOI-5789.01,KIC 10387792,0.319386111,383.26217,199.3235729,1.532864652,2.964782819,0.944804573,-0.545, Kepler,556022778.2,209127000000000.0,209128000000000.0,1.6552748789954765
9,10,KOI-5798.01,KIC 10487228,0.403586971,318.25858,211.3313568,1.963135705,4.512474992,0.834701956,-0.551, Kepler,2157381830.0,439289000000000.0,439291000000000.0,1.1813498334989512
10,11,KOI-5556.01,KIC 8656535,0.331692909,631.99116,201.2165523,1.608548708,3.217572789,1.393580006,-0.191, Kepler,248105837.5,241658000000000.0,241659000000000.0,1.8957017517268229
11,12,KOI-5810.01,KIC 10581308,0.545106481,425.593391,227.8242731,1.395905621,2.529189787,1.080834819,-0.196, Kepler,4249071.384,157931000000000.0,157931000000000.0,1.2539558606294596
12,15,KOI-5609.01,KIC 9079671,0.279400766,535.1515,192.7687161,1.48945889,2.823660179,1.208888382,-0.389, Kepler,948476316.6,191860000000000.0,191861000000000.0,2.402928896286327
13,16,KOI-5616.01,KIC 9114614,0.151223926,441.61919,165.3426082,1.894864865,4.249288345,0.990124359,-0.829, Kepler,2511720054.0,395033000000000.0,395036000000000.0,2.215981740947318
14,17,KOI-5755.01,KIC 10007916,0.458060463,388.67155,218.1274683,1.503236041,2.868146454,0.980705467,-0.356, Kepler,546049253.2,197233000000000.0,197234000000000.0,1.0233562870313442
15,18,KOI-5506.01,KIC 8352009,0.82217649,641.60204,252.4764763,1.992589719,4.628021744,1.556028234,0.299, Kepler,82174128.93,459359000000000.0,459360000000000.0,0.796798268209471
16,19,KOI-5387.01,KIC 7416016,0.225947054,297.78282,182.802162,1.352440678,2.39694146,0.759445578,-0.885, Kepler,964508275.7,143633000000000.0,143634000000000.0,1.5068859044417853
17,20,KOI-5389.01,KIC 7416646,0.536407913,365.739893,226.9099033,1.581143757,3.125057354,0.968840783,-0.298, Kepler,224701398.6,229516000000000.0,229516000000000.0,2.2534284151509483
18,21,KOI-5643.01,KIC 9220614,0.26302878,570.01886,189.8805472,1.578987342,3.117824713,1.253136456,-0.384, Kepler,857740057.1,228578000000000.0,228579000000000.0,1.1872818252639026
19,23,KOI-5948.01,KIC 12007270,0.715158209,398.51312,243.8260981,1.398537549,2.537291366,0.998387043,-0.147, Kepler,1607070668.0,158826000000000.0,158828000000000.0,1.2944378225900737
20,24,KOI-5949.01,KIC 12009917,0.694553314,559.785594,242.0505388,1.717551755,3.596450432,1.308118857,0.075, Kepler,1432962365.0,294190000000000.0,294192000000000.0,1.5184480314928381
21,25,KOI-5971.01,KIC 12418418,0.117380365,493.30572,155.1952841,1.08,1.280551276,0.997421736,-0.932646889, Kepler,17749360.63,73142600000000.0,73142600000000.0,2.4275167857984097
22,26,KOI-5978.01,KIC 12734110,0.458396851,364.18129,218.1675041,1.78,3.821264808,0.937558461,-0.394761659, Kepler,735897300.2,327461000000000.0,327461000000000.0,1.1726694983915869
23,27,KOI-5870.01,KIC 11129145,0.713900451,132.114,243.7188223,0.88623327,0.630374656,0.435192269,-0.869, Kepler,10806950621.0,40415100000000.0,40425900000000.0,3.8505970259189857
24,30,KOI-2281.02,KIC 9221517,0.281633123,455.27405,193.1526139,1.485403423,2.810619609,1.089326664,-0.476, Kepler,615865385.6,190297000000000.0,190298000000000.0,1.4984709146114947
25,32,KOI-7470.01,KIC 11671646,0.401260316,392.50115,211.0261178,1.575,3.10446927,0.976757815,-0.417, Kepler,172205018.5,226851000000000.0,226851000000000.0,1.6262722823327929
26,33,KOI-6343.01,KIC 3548622,0.615537491,569.45051,234.8514708,1.96,4.500244547,1.35564832,0.05354859, Kepler,1068024398.0,437187000000000.0,437188000000000.0,1.125112555686863
27,34,KOI-7591.01,KIC 8297319,0.301194401,328.32211,196.4225661,1.274700599,2.167739611,0.821441335,-0.692, Kepler,130210.2007,120261000000000.0,120261000000000.0,1.183850281430631
28,37,KOI-7923.01,KIC 9084569,0.429234854,395.13138,214.6117035,0.910840046,0.69539219,0.960843176,-0.402, Kepler,188425871.2,43875800000000.0,43876000000000.0,2.7487811903045585
29,39,KOI-8047.01,KIC 11294822,0.383837223,302.34971,208.6971071,1.86279597,4.127913068,0.805242068,-0.604, Kepler,42156649694.0,375314000000000.0,375356000000000.0,1.3906284079466082
30,40,KOI-7953.01,KIC 9650579,0.691631797,432.96905,241.7956006,1.628521445,3.285695429,1.074144043,-0.098, Kepler,911022059.7,250772000000000.0,250773000000000.0,0.7331447846443261
31,41,EPIC 246711015.01,EPIC 246711015,0.55411229,13.284219,228.759481,1.233,2.048718566,0.050951751,-2.842083993, K2,6543330000000000.0,108840000000000.0,6652170000000000.0,25.6208823517275
32,42,EPIC 246711015.02,EPIC 246711015,0.248873249,24.213117,187.2725876,0.505,0.083970512,0.076027182,-2.842083993, K2,3289260000000.0,7477790000000.0,10767000000000.0,35.15844003997162
33,43,TOI-715.01,TIC 271971130,0.726103271,19.28797174,244.753694,1.594664262,3.170562123,0.082225714,-2.308986297, TESS,2293550000000000.0,235454000000000.0,2529010000000000.0,32.477348023133246
34,46,TOI-4328.01,TIC 77175217,0.122510882,703.79367,156.8640138,1.860294899,4.118507773,1.406864981,-0.615320495, TESS,64936223.18,373804000000000.0,373804000000000.0,23.33617206013681
