,Unnamed: 0,Unnamed: 0.1,name,Insolation,Period,T_eff,Radius,Discovery,st_log_lum,semi_au,masse_est,hostname
0,0,0,KOI-4427.01,0.3188493286270356, 147.661729,199.23977084049827,1.7976734693877552, Kepler,-1.195,0.4474116069491987,3.8859037172236026,KIC 4172805
1,1,1,KOI-4848.01,0.1605193456722766, 384.6961,167.82687271862247,1.8800000000000003, Kepler,-0.883,0.9031009718395504,4.192847646522979,KIC 9005321
2,2,2,KOI-7716.01,0.4342744580832947, 483.36405,215.23888251075343,1.503481894150418, Kepler,-0.238,1.1537663182118671,2.868942906572037,KIC 5097856
3,3,3,KOI-4878.01,0.9330167819953024, 449.01499,260.58656472565906,1.0205243445692884, Kepler,0.083,1.1390827427853036,1.0452581096442457,KIC 11804437
4,4,4,KOI-5087.01,0.3328750699445955, 651.07431,201.39559835606468,1.1419111816019034, Kepler,-0.16,1.4416484343226577,1.5637453869857711,KIC 4770798
5,5,5,KOI-5227.01,0.598982500364655, 371.56492,233.2561968946791,1.6119444444444444, Kepler,-0.251,0.9678163012513916,3.229113500479716,KIC 6034834
6,6,6,KOI-5236.01,0.8115685918173533, 550.86514,251.65812969811856,1.921434977578476, Kepler,0.16,1.3345577891213618,4.350944247297969,KIC 6067545
7,7,7,KOI-5130.01,0.4307200687673576, 370.05918,214.7971099460044,1.9, Kepler,-0.4206831000434629,0.938773661061079,4.268858076550561,KIC 5166811
8,8,8,KOI-5408.01,0.3545819137107859, 415.748785,204.6014945316859,1.7108213820078229, Kepler,-0.421,1.0342885340479195,3.5725561662759024,KIC 7631138
9,9,9,KOI-5789.01,0.3193861110370944, 383.26217,199.32357292442475,1.5328646517739817, Kepler,-0.545,0.9448045734125552,2.9647828189628225,KIC 10387792
10,10,10,KOI-5798.01,0.4035869711452396, 318.25858,211.33135675633457,1.9631357048748352, Kepler,-0.551,0.8347019559704093,4.512474991621003,KIC 10487228
11,11,11,KOI-5556.01,0.33169290850175, 631.99116,201.21655232652557,1.608548707753479, Kepler,-0.191,1.393580005827464,3.2175727894599424,KIC 8656535
12,12,12,KOI-5810.01,0.5451064811251758, 425.593391,227.82427308309596,1.3959056210964609, Kepler,-0.196,1.0808348194174249,2.5291897874206324,KIC 10581308
13,13,13,KOI-5457.01,0.8910945829870703, 578.21623,257.60874847993335,1.487367447595561, Kepler,0.239,1.3948840176017392,2.816931937272499,KIC 8005002
14,14,14,KOI-5715.01,0.9874083443926044, 189.961729,264.3040725782252,1.927398921832884, Kepler,-0.459,0.5932689285268936,4.373897594196072,KIC 9832379
15,15,15,KOI-5609.01,0.2794007657852954, 535.1515,192.76871610765878,1.4894588896697118, Kepler,-0.389,1.2088883823551957,2.823660179338786,KIC 9079671
16,16,16,KOI-5616.01,0.151223926284459, 441.61919,165.34260824022047,1.894864864864865, Kepler,-0.829,0.9901243591106056,4.249288344971683,KIC 9114614
17,17,17,KOI-5755.01,0.4580604629486958, 388.67155,218.12746830226442,1.503236040609137, Kepler,-0.356,0.980705466668093,2.8681464536719377,KIC 10007916
18,18,18,KOI-5506.01,0.8221764902732802, 641.60204,252.476476333851,1.99258971871969, Kepler,0.299,1.5560282338012,4.628021743714208,KIC 8352009
19,19,19,KOI-5387.01,0.2259470544892416, 297.78282,182.80216201434962,1.3524406779661018, Kepler,-0.885,0.759445578428082,2.396941459764376,KIC 7416016
20,20,20,KOI-5389.01,0.536407912703607, 365.739893,226.9099033033297,1.5811437565582371, Kepler,-0.298,0.9688407834436098,3.125057354155296,KIC 7416646
21,21,21,KOI-5643.01,0.2630287801397597, 570.01886,189.8805471704376,1.578987341772152, Kepler,-0.384,1.2531364560377265,3.1178247131300214,KIC 9220614
22,22,22,KOI-5938.01,0.9948207943865356, 545.205601,264.7987133091766,1.7519826839826838, Kepler,0.282,1.3871632440738615,3.719709417934288,KIC 11860294
23,23,23,KOI-5948.01,0.7151582089739709, 398.51312,243.8260981336231,1.3985375494071146, Kepler,-0.147,0.9983870426175364,2.537291366372396,KIC 12007270
24,24,24,KOI-5949.01,0.6945533135115766, 559.785594,242.0505388047647,1.7175517551755173, Kepler,0.075,1.308118857031233,3.596450432380097,KIC 12009917
25,25,25,KOI-5971.01,0.1173803646120435, 493.30572,155.19528414023867,1.08, Kepler,-0.9326468893396608,0.9974217360377736,1.2805512755370785,KIC 12418418
26,26,26,KOI-5978.01,0.4583968511574584, 364.18129,218.16750412504285,1.78, Kepler,-0.3947616590312208,0.937558461375312,3.8212648075907554,KIC 12734110
27,27,27,KOI-5870.01,0.7139004508656924, 132.114,243.7188223193888,0.8862332695984703, Kepler,-0.869,0.4351922691736669,0.6303746559475454,KIC 11129145
28,28,28,KOI-5893.01,0.9134009217632744, 405.6296,259.2059809138041,1.98126582278481, Kepler,-0.014,1.0296017622515192,4.583456568297782,KIC 11393633
29,29,29,KOI-3456.02,0.9964787032804968, 486.12702,264.90896885696446,1.3244444444444443, Kepler,0.12,1.150180470713959,2.313310153915948,KIC 6364582
30,30,30,KOI-2281.02,0.2816331234309627, 455.27405,193.15261390365248,1.4854034229828854, Kepler,-0.476,1.0893266638401469,2.81061960927836,KIC 9221517
31,31,31,KOI-3401.02,0.9668712815916134, 326.6708,262.91890933986804,1.9373134328358208, Kepler,-0.105,0.9011885591342532,4.412165204114695,KIC 9966219
32,32,32,KOI-7470.01,0.4012603156664973, 392.50115,211.02611782635577,1.5749999999999995, Kepler,-0.417,0.9767578151826648,3.10446926969176,KIC 11671646
33,33,33,KOI-6343.01,0.615537491127771, 569.45051,234.85147078400743,1.96, Kepler,0.0535485903119301,1.3556483197676097,4.500244547211932,KIC 3548622
34,34,34,KOI-7591.01,0.3011944009763681, 328.32211,196.42256608555758,1.2747005988023952, Kepler,-0.692,0.8214413350595482,2.1677396106468705,KIC 8297319
35,35,35,KOI-8107.01,1.000254234330154, 578.88761,265.15953971585265,1.1927856025039123, Kepler,0.282,1.3833905374639908,1.828166425435488,KIC 5802205
36,36,36,KOI-8242.01,0.8944769181739582, 331.55459,257.85285321989574,1.4788514357053684, Kepler,-0.128,0.912463352764712,2.789603794553107,KIC 3629119
37,37,37,KOI-7923.01,0.4292348540045665, 395.13138,214.61170345360387,0.9108400460299194, Kepler,-0.402,0.9608431762785812,0.6953921895483056,KIC 9084569
38,38,38,KOI-8253.01,1.0098682399409906, 400.11482,265.7944053475298,1.16794731064764, Kepler,0.072,1.0811044202070668,1.6953484131491314,KIC 5098334
39,39,39,KOI-8047.01,0.3838372232985108, 302.34971,208.6971071103148,1.8627959697733, Kepler,-0.604,0.8052420680438445,4.127913068294494,KIC 11294822
40,40,40,KOI-7953.01,0.6916317970365066, 432.96905,241.7956005539192,1.6285214446952592, Kepler,-0.098,1.074144043203905,3.285695429079788,KIC 9650579
41,41,41,EPIC 246711015.01,0.5541122904330692, 13.284219,228.75948101997614,1.233, K2,-2.842083993045025,0.050951750816415,2.048718566365374,EPIC 246711015
42,42,42,EPIC 246711015.02,0.2488732492088479, 24.213117,187.27258759498767,0.505, K2,-2.842083993045025,0.0760271822095375,0.0839705123946123,EPIC 246711015
43,43,43,TOI-715.01,0.7261032713389735, 19.2879717386223,244.75369398352447,1.5946642617570208, TESS,-2.3089862967178845,0.0822257143045876,3.170562123226754,TIC 271971130
44,44,44,TOI-2263.01,0.857411770378014, NaN,,1.63308873541313, TESS,-0.1913290401860418,,3.3013557916855825,TIC 159400561
45,45,45,TOI-2433.01,0.381980293121693, NaN,,1.81031012789185, TESS,-1.979494682279132,,3.932393900207237,TIC 405763009
46,46,46,TOI-4328.01,0.1225108819241259, 703.79367004987,156.86401378223292,1.8602948990525696, TESS,-0.6153204945496155,1.4068649812480258,4.118507773492812,TIC 77175217
