,Planet,Insolation,Period,Radius,Jup_Radius,Discovery,Status
0,Kepler-452 b,1.108504328,384.843,1.568324324,0.139904043, Kepler, Confirmed
1,Kepler-1649 c,0.942182869,19.53527,1.069217391,0.095380677, Kepler, Confirmed
2,Kepler-1544 b,0.774586634,168.811174,1.72227027,0.153636955, Kepler, Confirmed
3,Kepler-1410 b,1.06,60.866168,1.78,0.158786798, Kepler, Confirmed
4,Kepler-296 f,0.62,63.33627,1.8,0.160570919, Kepler, Confirmed
5,Kepler-283 c,0.966398082,92.743711,1.944526316,0.173463543, Kepler, Confirmed
6,Kepler-62 f,0.509359745,267.291,1.533375,0.136786351, Kepler, Confirmed
7,Kepler-442 b,1.00749578,112.3053,1.375733333,0.122723759, Kepler, Confirmed
8,Kepler-1652 b,0.81,38.09722,1.6,0.142729706, Kepler, Confirmed
10,Kepler-441 b,0.241810932,207.2482,1.568436364,0.139914038, Kepler, Confirmed
11,Kepler-1229 b,0.629999236,86.828989,1.556470588,0.138846618, Kepler, Confirmed
12,K2-3 d,1.003349981,44.55646,1.499946429,0.13380432, K2, Confirmed
14,LP 890-9 c,0.91,8.457463,1.367,0.121944692, SPECULOOS Southern Observatory, Confirmed
20,TOI-700 d,0.85,37.42475,1.144,0.10205174, TESS, Confirmed